train_loss,test_loss,epoch
0.1962236827546999,0.3601659692823887,1
0.15775251738564783,0.3104455769062042,2
0.14203952706287382,0.2830487906932831,3
0.12975782752351198,0.22465120069682598,4
0.1186765037943005,0.20573186352849007,5
0.10890270640009403,0.20060951337218286,6
0.10046932920394694,0.18784095272421836,7
0.09272108204107803,0.1779205698519945,8
0.08551669819116886,0.17063102312386036,9
0.07936514690073335,0.1704579796642065,10
0.07409042162651841,0.16795532628893853,11
0.06912345867158973,0.16272953227162362,12
0.06477806693727042,0.17232823558151722,13
0.0610724823995744,0.16374358646571635,14
0.05740881474127107,0.1595361266285181,15
0.05443023539260187,0.15718046091496946,16
0.05148709071793568,0.16292403563857077,17
0.04927401744465403,0.1583673782646656,18
0.04699252696298142,0.1589244619011879,19
0.04481354648887441,0.156502865254879,20
0.04314971043913509,0.16726263985037804,21
0.041491659899070096,0.1569374669343233,22
0.04017111629434846,0.1607021428644657,23
0.03897651103282647,0.15976000279188157,24
0.0376723803107274,0.15740314722061158,25
